image, mf,amf,namf,proposed1,proposed2,proposed3,proposed4,proposed5
noiseimage/[test01]_origin_0.70.png,9.620,29.364,28.636,29.537,29.598,28.694,28.871,29.955
noiseimage/[test02]_origin_0.70.png,9.543,26.761,26.450,26.913,26.979,26.483,26.673,27.658
noiseimage/[test03]_origin_0.70.png,9.516,26.406,26.176,26.518,26.564,26.198,26.369,27.303
noiseimage/[test04]_origin_0.70.png,9.424,26.943,27.203,27.200,27.213,27.399,27.520,28.209
noiseimage/[test05]_origin_0.70.png,9.999,25.932,25.932,26.088,26.191,25.976,26.086,26.611
noiseimage/[test06]_origin_0.70.png,9.847,23.186,22.980,23.304,23.341,22.975,23.091,23.692
noiseimage/[test07]_origin_0.70.png,9.636,26.061,25.846,26.121,26.145,25.842,25.999,26.814
noiseimage/[test08]_origin_0.70.png,9.490,29.619,29.218,29.794,29.894,29.237,29.410,30.446
noiseimage/[test09]_origin_0.70.png,9.854,23.307,23.350,23.475,23.495,23.359,23.497,24.127
noiseimage/[test10]_origin_0.70.png,9.383,20.645,20.484,20.752,20.789,20.508,20.659,21.221
noiseimage/[test11]_origin_0.70.png,10.186,29.950,29.565,30.096,30.171,29.627,29.754,30.669
noiseimage/[test12]_origin_0.70.png,9.366,23.447,22.751,23.605,23.645,22.788,22.947,23.869
noiseimage/[test13]_origin_0.70.png,9.517,27.176,27.089,27.341,27.441,27.142,27.280,28.002
noiseimage/[test14]_origin_0.70.png,9.895,27.130,26.707,27.259,27.301,26.684,26.857,27.856
noiseimage/[test15]_origin_0.70.png,9.809,21.397,21.191,21.527,21.546,21.184,21.337,21.948
noiseimage/[test16]_origin_0.70.png,10.196,25.101,24.906,25.199,25.256,24.942,25.008,25.348
noiseimage/[test17]_origin_0.70.png,10.229,26.973,26.300,27.119,27.171,26.382,26.613,27.878
noiseimage/[test18]_origin_0.70.png,9.785,31.255,30.671,31.403,31.474,30.701,30.872,31.998
noiseimage/[test19]_origin_0.70.png,9.280,23.666,23.073,23.846,23.880,23.108,23.296,24.267
noiseimage/[test20]_origin_0.70.png,10.035,26.401,25.528,26.553,26.596,25.588,25.812,27.052
noiseimage/[test21]_origin_0.70.png,9.983,26.668,25.976,26.855,26.917,26.052,26.200,27.063
noiseimage/[test22]_origin_0.70.png,9.843,23.883,23.391,24.035,24.055,23.423,23.581,24.394
noiseimage/[test23]_origin_0.70.png,9.575,28.546,28.590,28.642,28.705,28.680,28.822,29.560
noiseimage/[test24]_origin_0.70.png,9.900,24.894,24.607,25.070,25.108,24.640,24.804,25.638
noiseimage/[test25]_origin_0.70.png,9.104,30.583,30.935,30.694,30.784,30.924,31.007,31.393
noiseimage/[test26]_origin_0.70.png,9.259,20.371,19.878,20.496,20.532,19.915,20.077,20.747
noiseimage/[test27]_origin_0.70.png,9.418,25.803,24.935,25.987,26.022,24.968,25.180,26.464
noiseimage/[test28]_origin_0.70.png,9.548,21.475,21.608,21.664,21.712,21.648,21.771,22.237
noiseimage/[test29]_origin_0.70.png,9.916,28.542,28.383,28.649,28.725,28.379,28.510,29.269
noiseimage/[test30]_origin_0.70.png,9.943,23.397,22.459,23.561,23.576,22.478,22.699,23.831
noiseimage/[test31]_origin_0.70.png,10.291,26.041,25.571,26.207,26.283,25.655,25.776,26.556
noiseimage/[test32]_origin_0.70.png,9.289,24.517,24.220,24.661,24.702,24.248,24.415,25.156
noiseimage/[test33]_origin_0.70.png,8.839,28.714,28.747,28.934,28.940,28.905,29.059,29.960
noiseimage/[test34]_origin_0.70.png,9.499,24.103,23.862,24.252,24.286,23.880,24.041,24.805
noiseimage/[test35]_origin_0.70.png,8.790,29.401,29.172,29.537,29.559,29.299,29.540,30.958
noiseimage/[test36]_origin_0.70.png,9.993,27.847,27.891,27.999,28.088,27.956,28.101,28.843
noiseimage/[test37]_origin_0.70.png,10.163,28.895,28.642,28.998,29.057,28.727,28.907,29.819
noiseimage/[test38]_origin_0.70.png,10.047,33.398,32.799,33.562,33.563,33.020,33.282,35.238
noiseimage/[test39]_origin_0.70.png,9.488,24.381,23.860,24.498,24.512,23.863,24.046,24.979
noiseimage/[test40]_origin_0.70.png,9.573,22.849,22.786,22.977,23.022,22.842,22.983,23.599
noiseimage/[test41]_origin_0.70.png,9.495,28.368,27.961,28.505,28.521,27.979,28.173,29.293
noiseimage/[test42]_origin_0.70.png,9.683,23.942,24.485,24.016,24.050,24.545,24.594,24.536
noiseimage/[test43]_origin_0.70.png,9.702,24.079,24.093,24.184,24.251,24.100,24.229,24.799
noiseimage/[test44]_origin_0.70.png,8.937,28.928,28.378,29.092,29.195,28.416,28.652,30.084
noiseimage/[test45]_origin_0.70.png,10.042,27.105,26.751,27.285,27.395,26.795,26.976,27.887
noiseimage/[test46]_origin_0.70.png,8.949,18.712,19.212,18.791,18.836,19.228,19.319,19.545
noiseimage/[test47]_origin_0.70.png,9.383,20.869,20.673,21.031,21.065,20.697,20.863,21.584
noiseimage/[test48]_origin_0.70.png,9.730,23.805,23.397,24.009,24.069,23.430,23.611,24.423
noiseimage/[test49]_origin_0.70.png,9.716,29.227,29.350,29.309,29.423,29.386,29.530,30.244
noiseimage/[test50]_origin_0.70.png,10.430,30.868,30.950,30.967,31.225,30.943,31.031,31.607
noiseimage/[test51]_origin_0.70.png,10.294,30.925,30.824,31.046,31.232,30.816,30.934,31.742
noiseimage/[test52]_origin_0.70.png,9.931,34.242,34.194,34.369,34.665,34.150,34.315,35.375
