image, mf,amf,namf,proposed1,proposed2,proposed3,proposed4,proposed5
noiseimage/[test01]_origin_0.10.png,31.983,40.369,38.083,40.827,41.085,38.406,38.926,40.319
noiseimage/[test01]_origin_0.30.png,22.777,35.267,32.925,35.616,35.688,33.131,33.438,35.132
noiseimage/[test01]_origin_0.50.png,15.183,32.528,30.540,32.810,32.857,30.630,30.874,32.542
noiseimage/[test01]_origin_0.70.png,9.620,29.364,28.636,29.537,29.598,28.694,28.871,29.955
noiseimage/[test01]_origin_0.90.png,6.407,24.859,26.003,24.846,24.899,26.042,26.072,25.914
noiseimage/[test02]_origin_0.10.png,30.217,38.115,36.469,38.487,38.826,36.824,37.342,38.067
noiseimage/[test02]_origin_0.30.png,22.411,33.219,31.387,33.598,33.822,31.614,31.985,33.330
noiseimage/[test02]_origin_0.50.png,14.841,29.415,28.177,29.666,29.735,28.277,28.522,29.783
noiseimage/[test02]_origin_0.70.png,9.543,26.761,26.450,26.913,26.979,26.483,26.673,27.658
noiseimage/[test02]_origin_0.90.png,6.224,22.613,23.736,22.591,22.615,23.775,23.817,23.732
noiseimage/[test03]_origin_0.10.png,30.426,37.839,36.381,38.314,38.633,36.747,37.228,37.899
noiseimage/[test03]_origin_0.30.png,22.825,33.005,31.119,33.347,33.507,31.300,31.679,33.066
noiseimage/[test03]_origin_0.50.png,14.906,29.995,28.621,30.260,30.348,28.723,29.011,30.520
noiseimage/[test03]_origin_0.70.png,9.516,26.406,26.176,26.518,26.564,26.198,26.369,27.303
noiseimage/[test03]_origin_0.90.png,6.309,22.781,23.856,22.803,22.835,23.912,23.967,23.966
noiseimage/[test04]_origin_0.10.png,33.427,35.300,34.579,35.645,35.769,34.971,35.180,36.037
noiseimage/[test04]_origin_0.30.png,23.703,33.912,32.045,34.413,34.594,32.388,32.657,34.423
noiseimage/[test04]_origin_0.50.png,15.061,30.789,29.580,31.214,31.302,29.839,30.067,31.614
noiseimage/[test04]_origin_0.70.png,9.424,26.943,27.203,27.200,27.213,27.399,27.520,28.209
noiseimage/[test04]_origin_0.90.png,6.292,23.287,25.063,23.309,23.309,25.176,25.204,24.863
noiseimage/[test05]_origin_0.10.png,28.293,35.939,35.072,36.393,36.439,35.158,35.622,35.921
noiseimage/[test05]_origin_0.30.png,22.499,31.567,30.194,31.969,31.981,30.290,30.606,31.556
noiseimage/[test05]_origin_0.50.png,15.133,28.805,27.728,29.096,29.133,27.778,27.973,28.985
noiseimage/[test05]_origin_0.70.png,9.999,25.932,25.932,26.088,26.191,25.976,26.086,26.611
noiseimage/[test05]_origin_0.90.png,6.668,22.611,23.605,22.645,22.752,23.625,23.646,23.450
noiseimage/[test06]_origin_0.10.png,25.743,30.547,29.488,30.773,30.794,29.569,29.979,30.664
noiseimage/[test06]_origin_0.30.png,21.465,27.665,26.384,27.941,27.976,26.436,26.735,27.761
noiseimage/[test06]_origin_0.50.png,14.759,25.422,24.560,25.678,25.715,24.585,24.772,25.713
noiseimage/[test06]_origin_0.70.png,9.847,23.186,22.980,23.304,23.341,22.975,23.091,23.692
noiseimage/[test06]_origin_0.90.png,6.759,20.207,21.158,20.185,20.206,21.148,21.168,21.007
noiseimage/[test07]_origin_0.10.png,31.530,38.348,36.572,38.594,38.772,36.943,37.390,38.308
noiseimage/[test07]_origin_0.30.png,22.155,32.517,30.583,32.754,32.862,30.754,31.080,32.547
noiseimage/[test07]_origin_0.50.png,14.352,29.674,28.171,29.848,29.895,28.284,28.545,30.002
